track_name,track_id,duration_ms,album_name,release_date,label,album_popularity,album_id,artist_id,duration_sec
Black Sands,6T0w8wrJhIMiBqVmC4UhrV,151287,Black Sands: Official Soundtrack,2019-12-20 00:00:00 UTC,1521914 Records DK2,2,3P7ScpNUSc9xEdVPDQyXIT,005nJcjkbJcDqEDV75nqbq,151.287
Squad Goals,1RDxImYrRLV8gpL5J1eeO9,257977,Black Sands: Official Soundtrack,2019-12-20 00:00:00 UTC,1521914 Records DK2,2,3P7ScpNUSc9xEdVPDQyXIT,005nJcjkbJcDqEDV75nqbq,257.977
All Gold,3UYPhAxyuc7XTQX0RTaMqj,130462,Black Sands: Official Soundtrack,2019-12-20 00:00:00 UTC,1521914 Records DK2,2,3P7ScpNUSc9xEdVPDQyXIT,005nJcjkbJcDqEDV75nqbq,130.462
Gladiators,5rVuUcCfe2SBd0I1YthDP6,216503,Black Sands: Official Soundtrack,2019-12-20 00:00:00 UTC,1521914 Records DK2,2,3P7ScpNUSc9xEdVPDQyXIT,005nJcjkbJcDqEDV75nqbq,216.503
Power,5sRZJDjMfqeGqzcf7VLLeD,213052,Black Sands: Official Soundtrack,2019-12-20 00:00:00 UTC,1521914 Records DK2,2,3P7ScpNUSc9xEdVPDQyXIT,005nJcjkbJcDqEDV75nqbq,213.052
Bright Side,4zpLDzxAl6ZwaeWzL20ZXM,210557,Black Sands: Official Soundtrack,2019-12-20 00:00:00 UTC,1521914 Records DK2,2,3P7ScpNUSc9xEdVPDQyXIT,005nJcjkbJcDqEDV75nqbq,210.557
Rumble In Kerma,62vwux2aauHam2wQKJG4HI,171977,Black Sands: Official Soundtrack,2019-12-20 00:00:00 UTC,1521914 Records DK2,2,3P7ScpNUSc9xEdVPDQyXIT,005nJcjkbJcDqEDV75nqbq,171.977
Bastard Smoker,270oQdSTIpXEBADUjGamKK,478861,Sabbath Worshipping Doom,2019-02-15 00:00:00 UTC,Void Tripper,2,0ryCWrovusSTe14PBZZQ4n,0u26mTrsDxNiMa2yEiWc4e,478.861
Black Roots Rising,4adUBDpSQFCLa3wf3IIuXj,313729,Sabbath Worshipping Doom,2019-02-15 00:00:00 UTC,Void Tripper,2,0ryCWrovusSTe14PBZZQ4n,0u26mTrsDxNiMa2yEiWc4e,313.729
Deep Purple,1gOvW3C4Ba6R3RcBFmbZvp,159143,Deep Purple,2023-07-07 00:00:00 UTC,Matt Nye Music,6,2wvF9EU012CIn3fhgJVgBm,0uwNjp5VLr7ig2T2rnwDct,159.143
Soft Water,1lrY2ajxDQK8NzKtcE60Nv,100924,Soft Water,2023-08-25 00:00:00 UTC,John Henriksson,45,2Ri8R8XqX5lrptfAJ1cSfF,0vd7h6G1xC8QyRvj7oJjij,100.924
Miniatures,60UUNDAJ4qL8aRRf1U5w6S,158493,Miniatures,2019-08-22 00:00:00 UTC,John Henriksson,1,6hO8oRbfGCaKlpMY09LfbI,0vd7h6G1xC8QyRvj7oJjij,158.493
Dein Geburtstag-Leid,5W7bLhV2N270WPu03pJo4Q,160773,Sommer Zu Jeder Jahreszeit,1992-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,4,1JTa06nWuFp80AVUNOZWRx,0w5Kp7bRzonhDur1llJblM,160.773
Banjo Boy,3kO7b3mXLSSJunri4pHInH,182800,Sommer Zu Jeder Jahreszeit,1992-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,4,1JTa06nWuFp80AVUNOZWRx,0w5Kp7bRzonhDur1llJblM,182.8
Rote Grütze Mit Sahne (Rødgrød Med Fløde),7813q9BYl6uGdI1fuM0ORr,199893,Sommer Zu Jeder Jahreszeit,1992-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,4,1JTa06nWuFp80AVUNOZWRx,0w5Kp7bRzonhDur1llJblM,199.893
Es Ist Sommer,0zjRyWSARgV6ApLlQoI3kY,206400,Sommer Zu Jeder Jahreszeit,1992-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,4,1JTa06nWuFp80AVUNOZWRx,0w5Kp7bRzonhDur1llJblM,206.4
Made In Germany,52Fz0N59g42veTte99SHCb,192733,Sommer Zu Jeder Jahreszeit,1992-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,4,1JTa06nWuFp80AVUNOZWRx,0w5Kp7bRzonhDur1llJblM,192.733
Wir Sind Zwei Strabassenmusikanten,6nAOGTVQn0U3XLUGNp57xR,192400,Sommer Zu Jeder Jahreszeit,1992-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,4,1JTa06nWuFp80AVUNOZWRx,0w5Kp7bRzonhDur1llJblM,192.4
Mit Den Möwen Woll'N Wir Fliegen,5z3jkJvJkk17R9QQEMvD1V,189933,Sommer Zu Jeder Jahreszeit,1992-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,4,1JTa06nWuFp80AVUNOZWRx,0w5Kp7bRzonhDur1llJblM,189.933
Ein Ticket Nach Jamaika,1PRSz0RL8zH7ZPuHaWBDJz,185266,Sommer Zu Jeder Jahreszeit,1992-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,4,1JTa06nWuFp80AVUNOZWRx,0w5Kp7bRzonhDur1llJblM,185.266
Hey California Sunshine Baby,6ByVpxxVcdiv39zHhVe698,222506,Sommer Zu Jeder Jahreszeit,1992-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,4,1JTa06nWuFp80AVUNOZWRx,0w5Kp7bRzonhDur1llJblM,222.506
Fahr Mit Mir Nach San Fernando,4SmltY6KBM25L0OkaRgFYK,202560,Sommer Zu Jeder Jahreszeit,1992-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,4,1JTa06nWuFp80AVUNOZWRx,0w5Kp7bRzonhDur1llJblM,202.56
Boogie Woogie,7jtxHhvBEnamuZw3c956n6,214626,Vi Cykler Deruda',1990-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,16,2ULFTduMUQWs1gCJHFkWDj,0w5Kp7bRzonhDur1llJblM,214.626
Lucky Luke,4uOJAQKRxVMHIWUHP0AecZ,150760,Vi Cykler Deruda',1990-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,16,2ULFTduMUQWs1gCJHFkWDj,0w5Kp7bRzonhDur1llJblM,150.76
Jeg Ved En Lærkerede,0De82lg7VCfN68NurMMqAG,204466,Vi Cykler Deruda',1990-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,16,2ULFTduMUQWs1gCJHFkWDj,0w5Kp7bRzonhDur1llJblM,204.466
Pigerne I Småland,4K2SGrU01iCSpOM5n3EkeJ,175133,Vi Cykler Deruda',1990-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,16,2ULFTduMUQWs1gCJHFkWDj,0w5Kp7bRzonhDur1llJblM,175.133
Rokketanden,5J70hLa8wD8puhamx7mv2x,160226,Vi Cykler Deruda',1990-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,16,2ULFTduMUQWs1gCJHFkWDj,0w5Kp7bRzonhDur1llJblM,160.226
Papirklip,2t1EJf5UttyBn3KBCDEir4,199293,Vi Cykler Deruda',1990-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,16,2ULFTduMUQWs1gCJHFkWDj,0w5Kp7bRzonhDur1llJblM,199.293
Kom Lad Os Synge,4kAHeFOe518mnbm0iL1Dpp,168800,Vi Cykler Deruda',1990-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,16,2ULFTduMUQWs1gCJHFkWDj,0w5Kp7bRzonhDur1llJblM,168.8
Nu Skal I Høre,5i2K9GZi30xSleu5NFBtNo,180106,Vi Cykler Deruda',1990-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,16,2ULFTduMUQWs1gCJHFkWDj,0w5Kp7bRzonhDur1llJblM,180.106
Bubbers Badekar,14PvY8IkuMuAOxF4MGGRVu,204306,Vi Cykler Deruda',1990-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,16,2ULFTduMUQWs1gCJHFkWDj,0w5Kp7bRzonhDur1llJblM,204.306
Ugens Dage,0pulTxnFBeJ5bFUlSB4CC9,115466,Vi Cykler Deruda',1990-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,16,2ULFTduMUQWs1gCJHFkWDj,0w5Kp7bRzonhDur1llJblM,115.466
Du Ka' Få En Lille Prut At Pil' I,6PuwdPCDbGPfok5o2vVZA5,157973,Vi Cykler Deruda',1990-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,16,2ULFTduMUQWs1gCJHFkWDj,0w5Kp7bRzonhDur1llJblM,157.973
Tango For To,4IOKKHvUR3QmMaZ1FDQkoN,216973,Vi Cykler Deruda',1990-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,16,2ULFTduMUQWs1gCJHFkWDj,0w5Kp7bRzonhDur1llJblM,216.973
Vi Er Dem,2QgUGmaAEskJS37fhd3Llk,158133,Vi Cykler Deruda',1990-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,16,2ULFTduMUQWs1gCJHFkWDj,0w5Kp7bRzonhDur1llJblM,158.133
Cykelhjelmen,1XoEcZ6coydigoHbKufQWF,114493,Vi Cykler Deruda',1990-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,16,2ULFTduMUQWs1gCJHFkWDj,0w5Kp7bRzonhDur1llJblM,114.493
Gør Nu Ligesom Mig,1ES8vMnv55whAcWvVgAsfj,127800,Vi Cykler Deruda',1990-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,16,2ULFTduMUQWs1gCJHFkWDj,0w5Kp7bRzonhDur1llJblM,127.8
Oh Susanne,50hA9cQgI8vdWyXVi0jB7X,160400,Vi Cykler Deruda',1990-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,16,2ULFTduMUQWs1gCJHFkWDj,0w5Kp7bRzonhDur1llJblM,160.4
Ta Med ((Let'S Dance)),3nD4SKBFjHCylvapdbrqQc,121800,Kattesang,1998-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,7,6LgX2Fw4k7Q1xrJMuETSQO,0w5Kp7bRzonhDur1llJblM,121.8
I Huset Derhjemme,2ipzXORC2Y3RasdLVLMBCp,189000,Kattesang,1998-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,7,6LgX2Fw4k7Q1xrJMuETSQO,0w5Kp7bRzonhDur1llJblM,189.0
Hold På Hatten,6wIydJaOYbnuaXzhqm6nXY,179933,Kattesang,1998-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,7,6LgX2Fw4k7Q1xrJMuETSQO,0w5Kp7bRzonhDur1llJblM,179.933
Kattesang,4fRMkDVeVkSDfzoiwP8v8r,161733,Kattesang,1998-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,7,6LgX2Fw4k7Q1xrJMuETSQO,0w5Kp7bRzonhDur1llJblM,161.733
Puff (Puff The Magic Dragon),5q78oxmtP7TDx1q2qrnWMl,183866,Kattesang,1998-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,7,6LgX2Fw4k7Q1xrJMuETSQO,0w5Kp7bRzonhDur1llJblM,183.866
Logik For Spædbørn,5hn60W14qgvysVu8xvbvHv,160200,Kattesang,1998-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,7,6LgX2Fw4k7Q1xrJMuETSQO,0w5Kp7bRzonhDur1llJblM,160.2
Når Jeg Nu Bli'R Konfirmeret,3hzdDO1c6oFESLzu0KIjrg,183466,Kattesang,1998-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,7,6LgX2Fw4k7Q1xrJMuETSQO,0w5Kp7bRzonhDur1llJblM,183.466
Det Var Sjovt I Gamle Dage,6dvBrxDBPX1IFdZ7VOFa7X,210133,Kattesang,1998-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,7,6LgX2Fw4k7Q1xrJMuETSQO,0w5Kp7bRzonhDur1llJblM,210.133
Vi Har Fået Nok ((My Boy Lollipop)),5OVKWEWrX2eT2Pk4RvgUhB,121933,Kattesang,1998-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,7,6LgX2Fw4k7Q1xrJMuETSQO,0w5Kp7bRzonhDur1llJblM,121.933
Se Norges Blomsterdal,0TylJdDoPtcSAs2P2zrw9e,140466,Kattesang,1998-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,7,6LgX2Fw4k7Q1xrJMuETSQO,0w5Kp7bRzonhDur1llJblM,140.466
Gule Ærter Og Bævreflæsk,7JYyQSLc5AVYHKelJPCvsU,189466,Kattesang,1998-01-01 00:00:00 UTC,MBO - The Music Business Organisation A/S,7,6LgX2Fw4k7Q1xrJMuETSQO,0w5Kp7bRzonhDur1llJblM,189.466
Wicked World (Instrumental Version),0iM7fFZiv96qGF4JSvyDsS,280537,The Greatest Instrumental Salute To Black Sabbath,2013-02-01 00:00:00 UTC,Big Eye Music,8,0F0PockdaHI0ovwj5bfJ6D,0wp7cYNFjMgSHBDdla5aC9,280.537
Iron Man (Instrumental Version),3WuNUpOZCJPEtHVO6cx8O8,364066,The Greatest Instrumental Salute To Black Sabbath,2013-02-01 00:00:00 UTC,Big Eye Music,8,0F0PockdaHI0ovwj5bfJ6D,0wp7cYNFjMgSHBDdla5aC9,364.066
Evil Woman (Instrumental Version),56ibPC11qyVAS1kYFF7a3M,230977,The Greatest Instrumental Salute To Black Sabbath,2013-02-01 00:00:00 UTC,Big Eye Music,8,0F0PockdaHI0ovwj5bfJ6D,0wp7cYNFjMgSHBDdla5aC9,230.977
Paranoid (Instrumental Version),2tLo74uG5wuPxwaL5Vnp08,173130,The Greatest Instrumental Salute To Black Sabbath,2013-02-01 00:00:00 UTC,Big Eye Music,8,0F0PockdaHI0ovwj5bfJ6D,0wp7cYNFjMgSHBDdla5aC9,173.13
Supernaut (Instrumental Version),3743jDx7jxGzyRn8t5g5OP,294924,The Greatest Instrumental Salute To Black Sabbath,2013-02-01 00:00:00 UTC,Big Eye Music,8,0F0PockdaHI0ovwj5bfJ6D,0wp7cYNFjMgSHBDdla5aC9,294.924
After Forever (Instrumental Version),0Ew4dKsiG2lJ6XnDqSlKG2,329544,The Greatest Instrumental Salute To Black Sabbath,2013-02-01 00:00:00 UTC,Big Eye Music,8,0F0PockdaHI0ovwj5bfJ6D,0wp7cYNFjMgSHBDdla5aC9,329.544
Changes (Instrumental Version),77xpKw3iioTaMb9hKtKAb1,287086,The Greatest Instrumental Salute To Black Sabbath,2013-02-01 00:00:00 UTC,Big Eye Music,8,0F0PockdaHI0ovwj5bfJ6D,0wp7cYNFjMgSHBDdla5aC9,287.086
Planet Caravan (Instrumental Version),3RLoeuB0IrrHwr08KmYGbu,263186,The Greatest Instrumental Salute To Black Sabbath,2013-02-01 00:00:00 UTC,Big Eye Music,8,0F0PockdaHI0ovwj5bfJ6D,0wp7cYNFjMgSHBDdla5aC9,263.186
Black Sabbath (Instrumental Version),4VAb1IgSBxhO4q1pZgAOQn,372865,The Greatest Instrumental Salute To Black Sabbath,2013-02-01 00:00:00 UTC,Big Eye Music,8,0F0PockdaHI0ovwj5bfJ6D,0wp7cYNFjMgSHBDdla5aC9,372.865
War Pigs (Instrumental Version),6Radpd02rGbyfbXCwMeVaF,498640,The Greatest Instrumental Salute To Black Sabbath,2013-02-01 00:00:00 UTC,Big Eye Music,8,0F0PockdaHI0ovwj5bfJ6D,0wp7cYNFjMgSHBDdla5aC9,498.64
Electic Funeral (Instrumental Version),37iJ3pabaAdGDvIdO0zKsA,275266,The Greatest Instrumental Salute To Black Sabbath,2013-02-01 00:00:00 UTC,Big Eye Music,8,0F0PockdaHI0ovwj5bfJ6D,0wp7cYNFjMgSHBDdla5aC9,275.266
Sabbath Bloody Sabbath,4vv6XxNhMz5VdD3u4WtzPb,347403,The Greatest Instrumental Salute To Black Sabbath,2013-02-01 00:00:00 UTC,Big Eye Music,8,0F0PockdaHI0ovwj5bfJ6D,0wp7cYNFjMgSHBDdla5aC9,347.403
Rock N Roll Doctor (Instrumental Version),2cACKQORnMBRTLBgEFIGkB,221906,The Greatest Instrumental Salute To Black Sabbath,2013-02-01 00:00:00 UTC,Big Eye Music,8,0F0PockdaHI0ovwj5bfJ6D,0wp7cYNFjMgSHBDdla5aC9,221.906
N.I.B. (Instrumental Version),6MOoKtckSMWe2ZT9ptkx5A,341106,The Greatest Instrumental Salute To Black Sabbath,2013-02-01 00:00:00 UTC,Big Eye Music,8,0F0PockdaHI0ovwj5bfJ6D,0wp7cYNFjMgSHBDdla5aC9,341.106
Never Say Die (Instrumental Version),0B3mh94LlBtFw6iD0hHiZV,243675,The Greatest Instrumental Salute To Black Sabbath,2013-02-01 00:00:00 UTC,Big Eye Music,8,0F0PockdaHI0ovwj5bfJ6D,0wp7cYNFjMgSHBDdla5aC9,243.675
My Hero (Made Famous By Foo Fighters),7syXeQKMkaDpqW5l8Y7Guz,260793,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,260.793
Monkey Wrench (Singalong Version),311h4i56ShjcbUy7hzvtfP,238586,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,238.586
Walking After You (Made Famous By Foo Fighters),1LEQ7uHVwoZBEUrM8ePkqq,240791,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,240.791
Doa (Made Famous By Foo Fighters),030a6xh7StSkars0ScObHv,256893,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,256.893
Cheer Up, Boys (Your Make Up Is Running) (Made Famous By Foo Fighters),4EBduLfa0n9NeBivgTt8km,223943,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,223.943
The Pretender (Made Famous By Foo Fighters),3Tc0HeRJgw1pZ7jjLLnJxa,266637,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,266.637
Low (Made Famous By Foo Fighters),4GaPn6PzBvaQzh7RUPjMfE,271066,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,271.066
Breakout (Singalong Version),2sC5OLWQGi66nH9I1tuMW2,204946,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,204.946
Resolve (Made Famous By Foo Fighters),4Rg3EU7cNGs4DsBTfz5VBp,285985,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,285.985
All My Life (Singalong Version),4saa8P1jjmCC8zrGSOsEH7,252133,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,252.133
Low (Singalong Version),5Bbssqnzdi19z14LTfrq5b,271066,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,271.066
Best Of You (Made Famous By Foo Fighters),3PeZbIdBRmwxUW6jCCUZVz,260720,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,260.72
Best Of You (Singalong Version),3UVCQjh8c7iJPPcrKCyDML,260720,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,260.72
Times Like These (Singalong Version),4E5rszKGMQTb9Xmu8t4Qy0,270013,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,270.013
I'Ll Stick Around (Singalong Version),0tV5kTlhGxuRwnt2pwCBr9,234946,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,234.946
The Pretender (Singalong Version),4XQm1l0fKViAzWVMz3NZZ4,266637,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,266.637
Wheels (Made Famous By Foo Fighters),1wSqfvVQFYgTTqJqeVsuYS,278595,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,278.595
Breakout (Made Famous By Foo Fighters),1qcFMgXxiG8bybQGQsqNlr,205066,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,205.066
Miracle (Singalong Version),5HQQkKieZ0baNpo0ztpxo7,208426,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,208.426
Miracle (Made Famous By Foo Fighters),4pJ3ydVIUkMtsM4gTVV5Pc,208426,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,208.426
The One (Singalong Version),0cIVGBedV9vqB1HkuzxeEq,168640,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,168.64
Long Road To Ruin (Made Famous By Foo Fighters),1GPpizVQZEQuKm4I8VhbOn,229054,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,229.054
I'Ll Be Coming Home Next Year (Made Famous By Foo Fighters),293EAAaVi42UhZ45QCT5Gj,261327,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,261.327
Monkey Wrench (Made Famous By Foo Fighters),6pOK46gLI4GYGsFZZcddBF,237013,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,237.013
All My Life (Made Famous By Foo Fighters),0vifaO3e1npFb2RtqKHG4m,252160,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,252.16
No Way Back (Singalong Version),7sepC37TdmLGHwOqUxv4eJ,198058,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,198.058
Doa (Singalong Version),793f8hn4qDcSGCqZoYrOpx,256893,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,256.893
Cheer Up, Boys (Your Make Up Is Running) (Singalong Version),54cTFytiEhUP9A6auS4dTv,223943,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,223.943
Long Road To Ruin (Singalong Version),21HpAC9QvLKCIsxr1jV8QN,229054,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,229.054
Next Year (Made Famous By Foo Fighters),1vY380Gy2U5qIaDVDGsg6n,256173,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,256.173
Resolve (Singalong Version),7q0UwkxW8MZk1uEPZh9Ryl,285985,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,285.985
Times Like These (Made Famous By Foo Fighters),7G68q5z1B6N8WPhbaKQYbb,270013,A Salute To Foo Fighters,2010-04-01 00:00:00 UTC,Big Eye Music,3,38UPhjCgpfuzSR8oZYFfe8,0wp7cYNFjMgSHBDdla5aC9,270.013
